Entry ID,Component,Label,Encoded values (by level),Category,Reason / derivation
PS41,PS,Menjadi Ketua Majelis Asesor Jabatan Fungsional Bidang dan Teknologi,25,Single-value / flat eligibility entry,"Regulatory row present but label/value wrap across lines in the source PDF, so missed by automated extraction; structurally checked, manual value check pending."
PS42,PS,Menjadi Anggota Majelis Asesor Jabatan Fungsional Bidang dan Teknologi,12.5,Single-value / flat eligibility entry,"Regulatory row present but label/value wrap across lines in the source PDF, so missed by automated extraction; structurally checked, manual value check pending."
PS43,PS,Menjadi Ketua Majelis Profesor Riset,25,Single-value / flat eligibility entry,"Regulatory row present but label/value wrap across lines in the source PDF, so missed by automated extraction; structurally checked, manual value check pending."
PS44,PS,Menjadi Sekretaris Majelis Profesor Riset,20,Single-value / flat eligibility entry,"Regulatory row present but label/value wrap across lines in the source PDF, so missed by automated extraction; structurally checked, manual value check pending."
PS45,PS,Menjadi Anggota Tim Penelaah Naskah Orasi,5,Single-value / flat eligibility entry,"Regulatory row present but label/value wrap across lines in the source PDF, so missed by automated extraction; structurally checked, manual value check pending."
PS58,PS,Dokumen Riset Kompleksitas Sangat Tinggi,40/40/40/40,National-priority complexity-tier extension,Values follow the flat complexity-tier schedule (40/20/15/10); author modelling extension with no distinct regulatory item row.
PS59,PS,Dokumen Riset Kompleksitas Tinggi,20/20/20/20,National-priority complexity-tier extension,Values follow the flat complexity-tier schedule (40/20/15/10); author modelling extension with no distinct regulatory item row.
PS60,PS,Dokumen Riset Kompleksitas Sedang,15/15/15/15,National-priority complexity-tier extension,Values follow the flat complexity-tier schedule (40/20/15/10); author modelling extension with no distinct regulatory item row.
PS61,PS,Dokumen Riset Kompleksitas Sederhana,10/10/10/10,National-priority complexity-tier extension,Values follow the flat complexity-tier schedule (40/20/15/10); author modelling extension with no distinct regulatory item row.
OC35,OC,Dokumen Riset Kompleksitas Sangat Tinggi,40/40/40/40,National-priority complexity-tier extension,Values follow the flat complexity-tier schedule (40/20/15/10); author modelling extension with no distinct regulatory item row.
OC36,OC,Dokumen Riset Kompleksitas Tinggi,20/20/20/20,National-priority complexity-tier extension,Values follow the flat complexity-tier schedule (40/20/15/10); author modelling extension with no distinct regulatory item row.
OC37,OC,Dokumen Riset Kompleksitas Sedang,15/15/15/15,National-priority complexity-tier extension,Values follow the flat complexity-tier schedule (40/20/15/10); author modelling extension with no distinct regulatory item row.
OC38,OC,Dokumen Riset Kompleksitas Sederhana,10/10/10/10,National-priority complexity-tier extension,Values follow the flat complexity-tier schedule (40/20/15/10); author modelling extension with no distinct regulatory item row.
OP16,OP,Draft Naskah Orasi Jumlah,2,Single-value / flat eligibility entry,"Regulatory row present but label/value wrap across lines in the source PDF, so missed by automated extraction; structurally checked and value confirmed by manual inspection."
OP39,OP,Dokumen Riset Kompleksitas Sedang,15/15/15/15,National-priority complexity-tier extension,Values follow the flat complexity-tier schedule (40/20/15/10); author modelling extension with no distinct regulatory item row.
OP46,OP,Dataset biomarker kesehatan,10/10/10/10,Single-value / flat eligibility entry,"Regulatory row present but label/value wrap across lines in the source PDF, so missed by automated extraction; structurally checked and value confirmed by manual inspection."
OP48,OP,Antigen/Antibodi/Produk Inovasi diagnostik,20/20/20/20,Single-value / flat eligibility entry,"Regulatory row present but label/value wrap across lines in the source PDF, so missed by automated extraction; structurally checked, manual value check pending."
OP58,OP,Dokumen Riset Kompleksitas Sangat Tinggi,40/40/40/40,National-priority complexity-tier extension,Values follow the flat complexity-tier schedule (40/20/15/10); author modelling extension with no distinct regulatory item row.
OP59,OP,Dokumen Riset Kompleksitas Tinggi,20/20/20/20,National-priority complexity-tier extension,Values follow the flat complexity-tier schedule (40/20/15/10); author modelling extension with no distinct regulatory item row.
OP60,OP,Dokumen Riset Kompleksitas Sedang,15/15/15/15,National-priority complexity-tier extension,Values follow the flat complexity-tier schedule (40/20/15/10); author modelling extension with no distinct regulatory item row.
OP61,OP,Dokumen Riset Kompleksitas Sederhana,10/10/10/10,National-priority complexity-tier extension,Values follow the flat complexity-tier schedule (40/20/15/10); author modelling extension with no distinct regulatory item row.
PK41,PK,Dokumen Riset Kompleksitas Sangat Tinggi,40/40/40/40,National-priority complexity-tier extension,Values follow the flat complexity-tier schedule (40/20/15/10); author modelling extension with no distinct regulatory item row.
PK42,PK,Dokumen Riset Kompleksitas Tinggi,20/20/20/20,National-priority complexity-tier extension,Values follow the flat complexity-tier schedule (40/20/15/10); author modelling extension with no distinct regulatory item row.
PK43,PK,Dokumen Riset Kompleksitas Sedang,15/15/15/15,National-priority complexity-tier extension,Values follow the flat complexity-tier schedule (40/20/15/10); author modelling extension with no distinct regulatory item row.
PK44,PK,Dokumen Riset Kompleksitas Sederhana,10/10/10/10,National-priority complexity-tier extension,Values follow the flat complexity-tier schedule (40/20/15/10); author modelling extension with no distinct regulatory item row.
PK45,PK,Dokumen Riset Kompleksitas Sangat Tinggi,40/40/40/40,National-priority complexity-tier extension,Values follow the flat complexity-tier schedule (40/20/15/10); author modelling extension with no distinct regulatory item row.
PK46,PK,Dokumen Riset Kompleksitas Tinggi,20/20/20/20,National-priority complexity-tier extension,Values follow the flat complexity-tier schedule (40/20/15/10); author modelling extension with no distinct regulatory item row.
PK47,PK,Dokumen Riset Kompleksitas Sedang,15/15/15/15,National-priority complexity-tier extension,Values follow the flat complexity-tier schedule (40/20/15/10); author modelling extension with no distinct regulatory item row.
PK48,PK,Dokumen Riset Kompleksitas Sederhana,10/10/10/10,National-priority complexity-tier extension,Values follow the flat complexity-tier schedule (40/20/15/10); author modelling extension with no distinct regulatory item row.
